link;id_objects;labels;file_name;id
http://www.bildindex.de/bilder/d/ae00001b05;['9077'];[1617];scn-ae00001b05;ae00001b05
http://www.bildindex.de/bilder/d/ae00001b06;['9077'];[1617];scn-ae00001b06;ae00001b06
http://www.bildindex.de/bilder/d/ae00001b07;['9077'];[1617];scn-ae00001b07;ae00001b07
http://www.bildindex.de/bilder/d/ae00001b08;['9077'];[1617];scn-ae00001b08;ae00001b08
http://www.bildindex.de/bilder/d/ae00001b10;['3899'];[3257];scn-ae00001b10;ae00001b10
http://www.bildindex.de/bilder/d/ae00002e03;['3858'];[3224];scn-ae00002e03;ae00002e03
http://www.bildindex.de/bilder/d/ae00002e04;['3204'];[2682];scn-ae00002e04;ae00002e04
http://www.bildindex.de/bilder/d/ae00002e05;['3292'];[2682];scn-ae00002e05;ae00002e05
http://www.bildindex.de/bilder/d/ae00002e06;['3313'];[2781];scn-ae00002e06;ae00002e06
http://www.bildindex.de/bilder/d/ae00002e07;['5422'];[4439];scn-ae00002e07;ae00002e07
http://www.bildindex.de/bilder/d/ae00002e08;['3371'];[2781];scn-ae00002e08;ae00002e08
http://www.bildindex.de/bilder/d/ae00002e09;['3814'];[3185];scn-ae00002e09;ae00002e09
http://www.bildindex.de/bilder/d/ae00002e10;['3842'];[3197];scn-ae00002e10;ae00002e10
http://www.bildindex.de/bilder/d/ae00002e11;['3826'];[3197];scn-ae00002e11;ae00002e11
http://www.bildindex.de/bilder/d/ae00002e12;['3760'];[3139];scn-ae00002e12;ae00002e12
http://www.bildindex.de/bilder/d/ae00002e13;['3760'];[3139];scn-ae00002e13;ae00002e13
http://www.bildindex.de/bilder/d/ae00002e14;['4006'];[3243];scn-ae00002e14;ae00002e14
http://www.bildindex.de/bilder/d/ae00002f01;['3989'];[3243];scn-ae00002f01;ae00002f01
http://www.bildindex.de/bilder/d/ae00002f02;['3882'];[3243];scn-ae00002f02;ae00002f02
http://www.bildindex.de/bilder/d/ae00003a09;['3918'];[3274];scn-ae00003a09;ae00003a09
http://www.bildindex.de/bilder/d/ae00003a11;['65'];[55];scn-ae00003a11;ae00003a11
http://www.bildindex.de/bilder/d/ae00003a12;['123'];[107];scn-ae00003a12;ae00003a12
http://www.bildindex.de/bilder/d/ae00003a13;['453'];[392];scn-ae00003a13;ae00003a13
http://www.bildindex.de/bilder/d/ae00003a14;['100'];[85];scn-ae00003a14;ae00003a14
http://www.bildindex.de/bilder/d/ae00003b01;['694'];[580];scn-ae00003b01;ae00003b01
http://www.bildindex.de/bilder/d/ae00003b02;['684'];[570];scn-ae00003b02;ae00003b02
http://www.bildindex.de/bilder/d/ae00003b03;['580'];[494];scn-ae00003b03;ae00003b03
http://www.bildindex.de/bilder/d/ae00003b04;['590'];[494];scn-ae00003b04;ae00003b04
http://www.bildindex.de/bilder/d/ae00003b05;['590'];[494];scn-ae00003b05;ae00003b05
http://www.bildindex.de/bilder/d/ae00003b06;['464'];[402];scn-ae00003b06;ae00003b06
http://www.bildindex.de/bilder/d/ae00005c08;['30632'];[24181];scn-ae00005c08;ae00005c08
http://www.bildindex.de/bilder/d/ae00005c09;['30627'];[6755];scn-ae00005c09;ae00005c09
http://www.bildindex.de/bilder/d/ae00005c10;['30655'];[24198];scn-ae00005c10;ae00005c10
http://www.bildindex.de/bilder/d/ae00005f11;['30640'];[24187];scn-ae00005f11;ae00005f11
http://www.bildindex.de/bilder/d/ae00005g09;['30741'];[24252];scn-ae00005g09;ae00005g09
http://www.bildindex.de/bilder/d/ae00005g10;['30749'];[24257];scn-ae00005g10;ae00005g10
http://www.bildindex.de/bilder/d/ae00006f03;['30679'];[20257];scn-ae00006f03;ae00006f03
http://www.bildindex.de/bilder/d/ae00006g10;['31189'];[24589];scn-ae00006g10;ae00006g10
http://www.bildindex.de/bilder/d/ae00006g11;['31227'];[24616];scn-ae00006g11;ae00006g11
http://www.bildindex.de/bilder/d/ae00006g12;['31174'];[24580];scn-ae00006g12;ae00006g12
http://www.bildindex.de/bilder/d/ae00007c03;['5098'];[4170];scn-ae00007c03;ae00007c03
http://www.bildindex.de/bilder/d/ae00007c05;['4992'];[4090];scn-ae00007c05;ae00007c05
http://www.bildindex.de/bilder/d/ae00007c07;['5110'];[4179];scn-ae00007c07;ae00007c07
http://www.bildindex.de/bilder/d/ae00007c08;['4894'];[4012];scn-ae00007c08;ae00007c08
http://www.bildindex.de/bilder/d/ae00007c09;['4899'];[4012];scn-ae00007c09;ae00007c09
http://www.bildindex.de/bilder/d/ae00007c10;['5035'];[4126];scn-ae00007c10;ae00007c10
http://www.bildindex.de/bilder/d/ae00008e06;['32338'];[25465];scn-ae00008e06;ae00008e06
http://www.bildindex.de/bilder/d/ae00008e07;['31851'];[25100];scn-ae00008e07;ae00008e07
http://www.bildindex.de/bilder/d/ae00008e08;['31833'];[25083];scn-ae00008e08;ae00008e08
http://www.bildindex.de/bilder/d/ae00008e09;['29808'];[23605];scn-ae00008e09;ae00008e09
http://www.bildindex.de/bilder/d/ae00008e10;['29870'];[23648];scn-ae00008e10;ae00008e10
http://www.bildindex.de/bilder/d/ae00008e11;['29856'];[23640];scn-ae00008e11;ae00008e11
http://www.bildindex.de/bilder/d/ae00008e13;['4911'];[4025];scn-ae00008e13;ae00008e13
http://www.bildindex.de/bilder/d/ae00008e14;['4908'];[3762];scn-ae00008e14;ae00008e14
http://www.bildindex.de/bilder/d/ae00008f01;['4605'];[3762];scn-ae00008f01;ae00008f01
