link;id_objects;labels;file_name;id;cluster
http://www.bildindex.de/bilder/d/ae00001b05;['9077'];[1617];scn-ae00001b05.jpg;ae00001b05;85
http://www.bildindex.de/bilder/d/ae00001b06;['9077'];[1617];scn-ae00001b06.jpg;ae00001b06;85
http://www.bildindex.de/bilder/d/ae00001b07;['9077'];[1617];scn-ae00001b07.jpg;ae00001b07;85
http://www.bildindex.de/bilder/d/ae00001b08;['9077'];[1617];scn-ae00001b08.jpg;ae00001b08;96
http://www.bildindex.de/bilder/d/ae00001b10;['3899'];[3257];scn-ae00001b10.jpg;ae00001b10;1
http://www.bildindex.de/bilder/d/ae00002e03;['3858'];[3224];scn-ae00002e03.jpg;ae00002e03;85
http://www.bildindex.de/bilder/d/ae00002e04;['3204'];[2682];scn-ae00002e04.jpg;ae00002e04;85
http://www.bildindex.de/bilder/d/ae00002e05;['3292'];[2682];scn-ae00002e05.jpg;ae00002e05;85
http://www.bildindex.de/bilder/d/ae00002e06;['3313'];[2781];scn-ae00002e06.jpg;ae00002e06;85
http://www.bildindex.de/bilder/d/ae00002e07;['5422'];[4439];scn-ae00002e07.jpg;ae00002e07;85
http://www.bildindex.de/bilder/d/ae00002e08;['3371'];[2781];scn-ae00002e08.jpg;ae00002e08;85
http://www.bildindex.de/bilder/d/ae00002e09;['3814'];[3185];scn-ae00002e09.jpg;ae00002e09;85
http://www.bildindex.de/bilder/d/ae00002e10;['3842'];[3197];scn-ae00002e10.jpg;ae00002e10;85
http://www.bildindex.de/bilder/d/ae00002e11;['3826'];[3197];scn-ae00002e11.jpg;ae00002e11;85
http://www.bildindex.de/bilder/d/ae00002e12;['3760'];[3139];scn-ae00002e12.jpg;ae00002e12;85
http://www.bildindex.de/bilder/d/ae00002e13;['3760'];[3139];scn-ae00002e13.jpg;ae00002e13;85
http://www.bildindex.de/bilder/d/ae00002e14;['4006'];[3243];scn-ae00002e14.jpg;ae00002e14;1
http://www.bildindex.de/bilder/d/ae00002f01;['3989'];[3243];scn-ae00002f01.jpg;ae00002f01;85
http://www.bildindex.de/bilder/d/ae00002f02;['3882'];[3243];scn-ae00002f02.jpg;ae00002f02;85
http://www.bildindex.de/bilder/d/ae00003a09;['3918'];[3274];scn-ae00003a09.jpg;ae00003a09;1
http://www.bildindex.de/bilder/d/ae00003a11;['65'];[55];scn-ae00003a11.jpg;ae00003a11;2
http://www.bildindex.de/bilder/d/ae00003a12;['123'];[107];scn-ae00003a12.jpg;ae00003a12;1
http://www.bildindex.de/bilder/d/ae00003a13;['453'];[392];scn-ae00003a13.jpg;ae00003a13;74
http://www.bildindex.de/bilder/d/ae00003a14;['100'];[85];scn-ae00003a14.jpg;ae00003a14;1
http://www.bildindex.de/bilder/d/ae00003b01;['694'];[580];scn-ae00003b01.jpg;ae00003b01;50
http://www.bildindex.de/bilder/d/ae00003b02;['684'];[570];scn-ae00003b02.jpg;ae00003b02;85
http://www.bildindex.de/bilder/d/ae00003b03;['580'];[494];scn-ae00003b03.jpg;ae00003b03;85
http://www.bildindex.de/bilder/d/ae00003b04;['590'];[494];scn-ae00003b04.jpg;ae00003b04;85
http://www.bildindex.de/bilder/d/ae00003b05;['590'];[494];scn-ae00003b05.jpg;ae00003b05;85
http://www.bildindex.de/bilder/d/ae00003b06;['464'];[402];scn-ae00003b06.jpg;ae00003b06;95
http://www.bildindex.de/bilder/d/ae00005c08;['30632'];[24181];scn-ae00005c08.jpg;ae00005c08;20
http://www.bildindex.de/bilder/d/ae00005c09;['30627'];[6755];scn-ae00005c09.jpg;ae00005c09;85
http://www.bildindex.de/bilder/d/ae00005c10;['30655'];[24198];scn-ae00005c10.jpg;ae00005c10;85
http://www.bildindex.de/bilder/d/ae00005f11;['30640'];[24187];scn-ae00005f11.jpg;ae00005f11;85
http://www.bildindex.de/bilder/d/ae00005g09;['30741'];[24252];scn-ae00005g09.jpg;ae00005g09;15
http://www.bildindex.de/bilder/d/ae00005g10;['30749'];[24257];scn-ae00005g10.jpg;ae00005g10;55
http://www.bildindex.de/bilder/d/ae00006f03;['30679'];[20257];scn-ae00006f03.jpg;ae00006f03;15
http://www.bildindex.de/bilder/d/ae00006g10;['31189'];[24589];scn-ae00006g10.jpg;ae00006g10;85
http://www.bildindex.de/bilder/d/ae00006g11;['31227'];[24616];scn-ae00006g11.jpg;ae00006g11;85
http://www.bildindex.de/bilder/d/ae00006g12;['31174'];[24580];scn-ae00006g12.jpg;ae00006g12;83
http://www.bildindex.de/bilder/d/ae00007c03;['5098'];[4170];scn-ae00007c03.jpg;ae00007c03;50
http://www.bildindex.de/bilder/d/ae00007c05;['4992'];[4090];scn-ae00007c05.jpg;ae00007c05;47
http://www.bildindex.de/bilder/d/ae00007c07;['5110'];[4179];scn-ae00007c07.jpg;ae00007c07;47
http://www.bildindex.de/bilder/d/ae00007c08;['4894'];[4012];scn-ae00007c08.jpg;ae00007c08;15
http://www.bildindex.de/bilder/d/ae00007c09;['4899'];[4012];scn-ae00007c09.jpg;ae00007c09;50
http://www.bildindex.de/bilder/d/ae00007c10;['5035'];[4126];scn-ae00007c10.jpg;ae00007c10;2
http://www.bildindex.de/bilder/d/ae00008e06;['32338'];[25465];scn-ae00008e06.jpg;ae00008e06;50
